internal_accession,external_accession,is_brainarray
Illumina_HumanHT-12_V4.0,GPL10558,n
Illumina_HumanHT-12_V4.0,GPL10904,n
Illumina_HumanHT-12_V4.0,GPL15988,n
Illumina_HumanHT-12_V4.0,GPL22366,n
Illumina_HumanHT-12_V4.0,GPL23026,n
Illumina_HumanHT-12_V4.0,A-MEXP-2072,n
Illumina_HumanHT-12_V4.0,A-MEXP-2210,n
Illumina_HumanRef-8_v1.0,GPL6098,n
Illumina_HumanRef-8_v1.0,A-MEXP-525,n
Illumina_HumanRef-8_v2.0,GPL6104,n
Illumina_HumanRef-8_v2.0,GPL6255,n
Illumina_HumanRef-8_v2.0,GPL5104,n
Illumina_HumanRef-8_v2.0,GPL14186,n
Illumina_HumanRef-8_v2.0,GPL5060,n
Illumina_HumanRef-8_v2.0,GPL6014,n
Illumina_HumanRef-8_v2.0,GPL11123,n
Illumina_HumanRef-8_v2.0,A-MEXP-931,n
Illumina_HumanRef-8_v3.0,GPL6883,n
Illumina_HumanRef-8_v3.0,GPL18405,n
Illumina_HumanRef-8_v3.0,GPL16221,n
Illumina_HumanRef-8_v3.0,A-MEXP-1172,n
Illumina_HumanWG-6_V3.0,GPL6884,n
Illumina_HumanWG-6_V3.0,GPL11009,n
Illumina_HumanWG-6_V3.0,GPL18387,n
Illumina_HumanWG-6_V3.0,A-MEXP-1173,n
Illumina_HumanWG-6_V3.0,A-MEXP-1844,n
Illumina_HumanWG-6_V3.0,A-MEXP-2271,n
